gallery_member_path,gallery_asset_path,face_angle,gender
ffhq/Part1/02205.png,reports/notebook_assets/ffhq_gallery/02205.png,0,female
ffhq/Part1/01793.png,reports/notebook_assets/ffhq_gallery/01793.png,0,male
ffhq/Part1/02854.png,reports/notebook_assets/ffhq_gallery/02854.png,0,male
ffhq/Part1/00303.png,reports/notebook_assets/ffhq_gallery/00303.png,0,female
ffhq/Part1/01719.png,reports/notebook_assets/ffhq_gallery/01719.png,0,female
ffhq/Part1/01950.png,reports/notebook_assets/ffhq_gallery/01950.png,0,male
ffhq/Part1/00897.png,reports/notebook_assets/ffhq_gallery/00897.png,0,male
ffhq/Part1/03869.png,reports/notebook_assets/ffhq_gallery/03869.png,0,male
ffhq/Part1/02192.png,reports/notebook_assets/ffhq_gallery/02192.png,0,female
ffhq/Part1/01008.png,reports/notebook_assets/ffhq_gallery/01008.png,0,male
ffhq/Part1/02272.png,reports/notebook_assets/ffhq_gallery/02272.png,0,male
ffhq/Part1/01498.png,reports/notebook_assets/ffhq_gallery/01498.png,0,female
ffhq/Part1/02290.png,reports/notebook_assets/ffhq_gallery/02290.png,0,female
ffhq/Part1/04116.png,reports/notebook_assets/ffhq_gallery/04116.png,0,female
ffhq/Part1/03113.png,reports/notebook_assets/ffhq_gallery/03113.png,0,female
ffhq/Part1/04055.png,reports/notebook_assets/ffhq_gallery/04055.png,0,male
ffhq/Part1/03000.png,reports/notebook_assets/ffhq_gallery/03000.png,0,male
ffhq/Part1/00526.png,reports/notebook_assets/ffhq_gallery/00526.png,0,male
ffhq/Part1/01602.png,reports/notebook_assets/ffhq_gallery/01602.png,0,male
ffhq/Part1/00902.png,reports/notebook_assets/ffhq_gallery/00902.png,0,male
ffhq/Part1/02286.png,reports/notebook_assets/ffhq_gallery/02286.png,0,male
ffhq/Part1/04281.png,reports/notebook_assets/ffhq_gallery/04281.png,0,female
ffhq/Part1/00465.png,reports/notebook_assets/ffhq_gallery/00465.png,0,female
ffhq/Part1/02685.png,reports/notebook_assets/ffhq_gallery/02685.png,0,female
ffhq/Part1/03421.png,reports/notebook_assets/ffhq_gallery/03421.png,0,female
ffhq/Part1/03442.png,reports/notebook_assets/ffhq_gallery/03442.png,0,female
ffhq/Part1/04532.png,reports/notebook_assets/ffhq_gallery/04532.png,0,male
ffhq/Part1/03428.png,reports/notebook_assets/ffhq_gallery/03428.png,0,male
ffhq/Part1/03235.png,reports/notebook_assets/ffhq_gallery/03235.png,0,male
ffhq/Part1/01947.png,reports/notebook_assets/ffhq_gallery/01947.png,0,female
ffhq/Part1/02939.png,reports/notebook_assets/ffhq_gallery/02939.png,0,male
ffhq/Part1/00307.png,reports/notebook_assets/ffhq_gallery/00307.png,0,female
ffhq/Part1/02499.png,reports/notebook_assets/ffhq_gallery/02499.png,0,female
ffhq/Part1/03463.png,reports/notebook_assets/ffhq_gallery/03463.png,0,female
ffhq/Part1/04078.png,reports/notebook_assets/ffhq_gallery/04078.png,0,female
ffhq/Part1/00710.png,reports/notebook_assets/ffhq_gallery/00710.png,0,female
ffhq/Part1/04361.png,reports/notebook_assets/ffhq_gallery/04361.png,0,male
ffhq/Part1/02133.png,reports/notebook_assets/ffhq_gallery/02133.png,0,male
ffhq/Part1/04823.png,reports/notebook_assets/ffhq_gallery/04823.png,0,female
ffhq/Part1/01055.png,reports/notebook_assets/ffhq_gallery/01055.png,0,female
ffhq/Part1/02943.png,reports/notebook_assets/ffhq_gallery/02943.png,0,female
