model,preset,gender,image_index,image_name,original_path,modified_path,ranker_recognizer,rank,gallery_member_path,gallery_asset_path,ranker_cos_distance,gallery_cos_distance_arcface,gallery_cos_distance_adaface,is_source_gallery_match
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,arcface,1,ffhq/Part1/00128.png,reports/notebook_assets/ffhq_gallery/00128.png,0.2231789231300354,0.22317886352539062,0.19344985485076904,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,arcface,2,ffhq/Part1/04860.png,reports/notebook_assets/ffhq_gallery/04860.png,0.7325640916824341,0.7325640916824341,0.68593430519104,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,arcface,3,ffhq/Part1/02338.png,reports/notebook_assets/ffhq_gallery/02338.png,0.7343003153800964,0.7343003153800964,0.7392871975898743,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,arcface,4,ffhq/Part1/00243.png,reports/notebook_assets/ffhq_gallery/00243.png,0.7585152983665466,0.7585152387619019,0.7723392844200134,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,arcface,5,ffhq/Part1/01048.png,reports/notebook_assets/ffhq_gallery/01048.png,0.7803789973258972,0.7803789973258972,0.8425172567367554,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,adaface,1,ffhq/Part1/00128.png,reports/notebook_assets/ffhq_gallery/00128.png,0.19344979524612427,0.22317886352539062,0.19344985485076904,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,adaface,2,ffhq/Part1/04860.png,reports/notebook_assets/ffhq_gallery/04860.png,0.6859342455863953,0.7325640916824341,0.68593430519104,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,adaface,3,ffhq/Part1/02338.png,reports/notebook_assets/ffhq_gallery/02338.png,0.7392871975898743,0.7343003153800964,0.7392871975898743,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,adaface,4,ffhq/Part1/04207.png,reports/notebook_assets/ffhq_gallery/04207.png,0.7593086957931519,0.8679367303848267,0.7593086957931519,False
hyperswap_1a_256,preset_A,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/female/female1.png,adaface,5,ffhq/Part1/00505.png,reports/notebook_assets/ffhq_gallery/00505.png,0.7649604678153992,0.8282560110092163,0.7649604678153992,False
